id,prefecture,exam,year,era,examType,subject,docType,title,sourceName,originalRelativePath,file,archivePath,bytes,school
2017-general-04-99,岡山県,高校入試,2017,H29,一般入試,理科,問題,H29 一般入試 理科 問題,H29_一般入試_理科_問題.pdf,2017/一般入試/04_理科/H29_一般入試_理科_問題.pdf,data/岡山県_高校入試問題/2017/一般入試/04_理科/H29_一般入試_理科_問題.pdf,,3117791,岡山県
2017-general-04-99,岡山県,高校入試,2017,H29,一般入試,理科,解答,H29 一般入試 理科 解答,H29_一般入試_理科_解答.pdf,2017/一般入試/04_理科/H29_一般入試_理科_解答.pdf,data/岡山県_高校入試問題/2017/一般入試/04_理科/H29_一般入試_理科_解答.pdf,,2867935,岡山県
2017-general-05-99,岡山県,高校入試,2017,H29,一般入試,社会,問題,H29 一般入試 社会 問題,H29_一般入試_社会_問題.pdf,2017/一般入試/05_社会/H29_一般入試_社会_問題.pdf,data/岡山県_高校入試問題/2017/一般入試/05_社会/H29_一般入試_社会_問題.pdf,,3522486,岡山県
2017-general-05-99,岡山県,高校入試,2017,H29,一般入試,社会,解答,H29 一般入試 社会 解答,H29_一般入試_社会_解答.pdf,2017/一般入試/05_社会/H29_一般入試_社会_解答.pdf,data/岡山県_高校入試問題/2017/一般入試/05_社会/H29_一般入試_社会_解答.pdf,,2721374,岡山県
2017-general-90-90,岡山県,高校入試,2017,H29,一般入試,配点表,配点表,H29 一般入試 配点表 配点表,H29_一般入試_配点表_配点表.pdf,2017/一般入試/90_配点表/H29_一般入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2017/一般入試/90_配点表/H29_一般入試_配点表_配点表.pdf,,258984,岡山県
2017-special-01-99,岡山県,高校入試,2017,H29,特別入試,国語,問題,H29 特別入試 国語 問題,H29_特別入試_国語_問題.pdf,2017/特別入試/01_国語/H29_特別入試_国語_問題.pdf,data/岡山県_高校入試問題/2017/特別入試/01_国語/H29_特別入試_国語_問題.pdf,,3377408,岡山県
2017-special-01-99,岡山県,高校入試,2017,H29,特別入試,国語,解答,H29 特別入試 国語 解答,H29_特別入試_国語_解答.pdf,2017/特別入試/01_国語/H29_特別入試_国語_解答.pdf,data/岡山県_高校入試問題/2017/特別入試/01_国語/H29_特別入試_国語_解答.pdf,,1628051,岡山県
2017-special-02-99,岡山県,高校入試,2017,H29,特別入試,数学,問題,H29 特別入試 数学 問題,H29_特別入試_数学_問題.pdf,2017/特別入試/02_数学/H29_特別入試_数学_問題.pdf,data/岡山県_高校入試問題/2017/特別入試/02_数学/H29_特別入試_数学_問題.pdf,,1622445,岡山県
2017-special-02-99,岡山県,高校入試,2017,H29,特別入試,数学,解答,H29 特別入試 数学 解答,H29_特別入試_数学_解答.pdf,2017/特別入試/02_数学/H29_特別入試_数学_解答.pdf,data/岡山県_高校入試問題/2017/特別入試/02_数学/H29_特別入試_数学_解答.pdf,,1217937,岡山県
2017-special-03-99,岡山県,高校入試,2017,H29,特別入試,英語,問題,H29 特別入試 英語 問題,H29_特別入試_英語_問題.pdf,2017/特別入試/03_英語/H29_特別入試_英語_問題.pdf,data/岡山県_高校入試問題/2017/特別入試/03_英語/H29_特別入試_英語_問題.pdf,,2536399,岡山県
2017-special-03-99,岡山県,高校入試,2017,H29,特別入試,英語,解答,H29 特別入試 英語 解答,H29_特別入試_英語_解答.pdf,2017/特別入試/03_英語/H29_特別入試_英語_解答.pdf,data/岡山県_高校入試問題/2017/特別入試/03_英語/H29_特別入試_英語_解答.pdf,,3501988,岡山県
2017-special-90-90,岡山県,高校入試,2017,H29,特別入試,配点表,配点表,H29 特別入試 配点表 配点表,H29_特別入試_配点表_配点表.pdf,2017/特別入試/90_配点表/H29_特別入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2017/特別入試/90_配点表/H29_特別入試_配点表_配点表.pdf,,219351,岡山県
2018-general-01-99,岡山県,高校入試,2018,H30,一般入試,国語,問題,H30 一般入試 国語 問題,H30_一般入試_国語_問題.pdf,2018/一般入試/01_国語/H30_一般入試_国語_問題.pdf,data/岡山県_高校入試問題/2018/一般入試/01_国語/H30_一般入試_国語_問題.pdf,,3548144,岡山県
2018-general-01-99,岡山県,高校入試,2018,H30,一般入試,国語,解答,H30 一般入試 国語 解答,H30_一般入試_国語_解答.pdf,2018/一般入試/01_国語/H30_一般入試_国語_解答.pdf,data/岡山県_高校入試問題/2018/一般入試/01_国語/H30_一般入試_国語_解答.pdf,,1675189,岡山県
2018-general-02-99,岡山県,高校入試,2018,H30,一般入試,数学,問題,H30 一般入試 数学 問題,H30_一般入試_数学_問題.pdf,2018/一般入試/02_数学/H30_一般入試_数学_問題.pdf,data/岡山県_高校入試問題/2018/一般入試/02_数学/H30_一般入試_数学_問題.pdf,,1731085,岡山県
2018-general-02-99,岡山県,高校入試,2018,H30,一般入試,数学,解答,H30 一般入試 数学 解答,H30_一般入試_数学_解答.pdf,2018/一般入試/02_数学/H30_一般入試_数学_解答.pdf,data/岡山県_高校入試問題/2018/一般入試/02_数学/H30_一般入試_数学_解答.pdf,,1240671,岡山県
2018-general-03-99,岡山県,高校入試,2018,H30,一般入試,英語,問題,H30 一般入試 英語 問題,H30_一般入試_英語_問題.pdf,2018/一般入試/03_英語/H30_一般入試_英語_問題.pdf,data/岡山県_高校入試問題/2018/一般入試/03_英語/H30_一般入試_英語_問題.pdf,,2299595,岡山県
2018-general-03-99,岡山県,高校入試,2018,H30,一般入試,英語,解答,H30 一般入試 英語 解答,H30_一般入試_英語_解答.pdf,2018/一般入試/03_英語/H30_一般入試_英語_解答.pdf,data/岡山県_高校入試問題/2018/一般入試/03_英語/H30_一般入試_英語_解答.pdf,,3630582,岡山県
2018-general-04-99,岡山県,高校入試,2018,H30,一般入試,理科,問題,H30 一般入試 理科 問題,H30_一般入試_理科_問題.pdf,2018/一般入試/04_理科/H30_一般入試_理科_問題.pdf,data/岡山県_高校入試問題/2018/一般入試/04_理科/H30_一般入試_理科_問題.pdf,,3344428,岡山県
2018-general-04-99,岡山県,高校入試,2018,H30,一般入試,理科,解答,H30 一般入試 理科 解答,H30_一般入試_理科_解答.pdf,2018/一般入試/04_理科/H30_一般入試_理科_解答.pdf,data/岡山県_高校入試問題/2018/一般入試/04_理科/H30_一般入試_理科_解答.pdf,,1933581,岡山県
2018-general-05-99,岡山県,高校入試,2018,H30,一般入試,社会,問題,H30 一般入試 社会 問題,H30_一般入試_社会_問題.pdf,2018/一般入試/05_社会/H30_一般入試_社会_問題.pdf,data/岡山県_高校入試問題/2018/一般入試/05_社会/H30_一般入試_社会_問題.pdf,,3401900,岡山県
2018-general-05-99,岡山県,高校入試,2018,H30,一般入試,社会,解答,H30 一般入試 社会 解答,H30_一般入試_社会_解答.pdf,2018/一般入試/05_社会/H30_一般入試_社会_解答.pdf,data/岡山県_高校入試問題/2018/一般入試/05_社会/H30_一般入試_社会_解答.pdf,,3722248,岡山県
2018-general-90-90,岡山県,高校入試,2018,H30,一般入試,配点表,配点表,H30 一般入試 配点表 配点表,H30_一般入試_配点表_配点表.pdf,2018/一般入試/90_配点表/H30_一般入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2018/一般入試/90_配点表/H30_一般入試_配点表_配点表.pdf,,298002,岡山県
2018-special-01-99,岡山県,高校入試,2018,H30,特別入試,国語,問題,H30 特別入試 国語 問題,H30_特別入試_国語_問題.pdf,2018/特別入試/01_国語/H30_特別入試_国語_問題.pdf,data/岡山県_高校入試問題/2018/特別入試/01_国語/H30_特別入試_国語_問題.pdf,,3314637,岡山県
2018-special-01-99,岡山県,高校入試,2018,H30,特別入試,国語,解答,H30 特別入試 国語 解答,H30_特別入試_国語_解答.pdf,2018/特別入試/01_国語/H30_特別入試_国語_解答.pdf,data/岡山県_高校入試問題/2018/特別入試/01_国語/H30_特別入試_国語_解答.pdf,,2144492,岡山県
2018-special-02-99,岡山県,高校入試,2018,H30,特別入試,数学,問題,H30 特別入試 数学 問題,H30_特別入試_数学_問題.pdf,2018/特別入試/02_数学/H30_特別入試_数学_問題.pdf,data/岡山県_高校入試問題/2018/特別入試/02_数学/H30_特別入試_数学_問題.pdf,,1646907,岡山県
2018-special-02-99,岡山県,高校入試,2018,H30,特別入試,数学,解答,H30 特別入試 数学 解答,H30_特別入試_数学_解答.pdf,2018/特別入試/02_数学/H30_特別入試_数学_解答.pdf,data/岡山県_高校入試問題/2018/特別入試/02_数学/H30_特別入試_数学_解答.pdf,,2198407,岡山県
2018-special-03-99,岡山県,高校入試,2018,H30,特別入試,英語,問題,H30 特別入試 英語 問題,H30_特別入試_英語_問題.pdf,2018/特別入試/03_英語/H30_特別入試_英語_問題.pdf,data/岡山県_高校入試問題/2018/特別入試/03_英語/H30_特別入試_英語_問題.pdf,,2804079,岡山県
2018-special-03-99,岡山県,高校入試,2018,H30,特別入試,英語,解答,H30 特別入試 英語 解答,H30_特別入試_英語_解答.pdf,2018/特別入試/03_英語/H30_特別入試_英語_解答.pdf,data/岡山県_高校入試問題/2018/特別入試/03_英語/H30_特別入試_英語_解答.pdf,,2438646,岡山県
2018-special-90-90,岡山県,高校入試,2018,H30,特別入試,配点表,配点表,H30 特別入試 配点表 配点表,H30_特別入試_配点表_配点表.pdf,2018/特別入試/90_配点表/H30_特別入試_配点表_配点表.pdf,data/岡山県_高校入試問題/2018/特別入試/90_配点表/H30_特別入試_配点表_配点表.pdf,,230868,岡山県
2022-general-01-99,広島県,中学入試,2022,R4,一般入試,国語,問題・解答用紙,R4 一般入試 国語 問題・解答用紙,R4_一般入試_国語_問題・解答用紙.pdf,2022/一般入試/01_国語/R4_一般入試_国語_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2022/一般入試/01_国語/R4_一般入試_国語_問題・解答用紙.pdf,,274034,修道中学校
2022-general-02-99,広島県,中学入試,2022,R4,一般入試,算数,問題・解答用紙,R4 一般入試 算数 問題・解答用紙,R4_一般入試_算数_問題・解答用紙.pdf,2022/一般入試/02_算数/R4_一般入試_算数_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2022/一般入試/02_算数/R4_一般入試_算数_問題・解答用紙.pdf,,197257,修道中学校
2022-general-04-99,広島県,中学入試,2022,R4,一般入試,理科,問題・解答用紙,R4 一般入試 理科 問題・解答用紙,R4_一般入試_理科_問題・解答用紙.pdf,2022/一般入試/04_理科/R4_一般入試_理科_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2022/一般入試/04_理科/R4_一般入試_理科_問題・解答用紙.pdf,,357939,修道中学校
2022-general-05-99,広島県,中学入試,2022,R4,一般入試,社会,問題・解答用紙,R4 一般入試 社会 問題・解答用紙,R4_一般入試_社会_問題・解答用紙.pdf,2022/一般入試/05_社会/R4_一般入試_社会_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2022/一般入試/05_社会/R4_一般入試_社会_問題・解答用紙.pdf,,1141998,修道中学校
2022-general-99-99,広島県,中学入試,2022,R4,一般入試,その他,解答・解説,R4 一般入試 その他 解答・解説,R4_一般入試_全教科_解答・解説集.pdf,2022/一般入試/99_その他/R4_一般入試_全教科_解答・解説集.pdf,data/広島県_修道中学校_中学入試問題/2022/一般入試/99_その他/R4_一般入試_全教科_解答・解説集.pdf,,1293961,修道中学校
2023-general-01-99,広島県,中学入試,2023,R5,一般入試,国語,問題・解答用紙,R5 一般入試 国語 問題・解答用紙,R5_一般入試_国語_問題・解答用紙.pdf,2023/一般入試/01_国語/R5_一般入試_国語_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2023/一般入試/01_国語/R5_一般入試_国語_問題・解答用紙.pdf,,422737,修道中学校
2023-general-02-99,広島県,中学入試,2023,R5,一般入試,算数,問題・解答用紙,R5 一般入試 算数 問題・解答用紙,R5_一般入試_算数_問題・解答用紙.pdf,2023/一般入試/02_算数/R5_一般入試_算数_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2023/一般入試/02_算数/R5_一般入試_算数_問題・解答用紙.pdf,,156370,修道中学校
2023-general-04-99,広島県,中学入試,2023,R5,一般入試,理科,問題・解答用紙,R5 一般入試 理科 問題・解答用紙,R5_一般入試_理科_問題・解答用紙.pdf,2023/一般入試/04_理科/R5_一般入試_理科_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2023/一般入試/04_理科/R5_一般入試_理科_問題・解答用紙.pdf,,383873,修道中学校
2023-general-05-99,広島県,中学入試,2023,R5,一般入試,社会,問題・解答用紙,R5 一般入試 社会 問題・解答用紙,R5_一般入試_社会_問題・解答用紙.pdf,2023/一般入試/05_社会/R5_一般入試_社会_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2023/一般入試/05_社会/R5_一般入試_社会_問題・解答用紙.pdf,,548504,修道中学校
2023-general-99-99,広島県,中学入試,2023,R5,一般入試,その他,解答・解説,R5 一般入試 その他 解答・解説,R5_一般入試_全教科_解答・解説集.pdf,2023/一般入試/99_その他/R5_一般入試_全教科_解答・解説集.pdf,data/広島県_修道中学校_中学入試問題/2023/一般入試/99_その他/R5_一般入試_全教科_解答・解説集.pdf,,823783,修道中学校
2024-general-01-99,広島県,中学入試,2024,R6,一般入試,国語,問題・解答用紙,R6 一般入試 国語 問題・解答用紙,R6_一般入試_国語_問題・解答用紙.pdf,2024/一般入試/01_国語/R6_一般入試_国語_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2024/一般入試/01_国語/R6_一般入試_国語_問題・解答用紙.pdf,,261796,修道中学校
2024-general-02-99,広島県,中学入試,2024,R6,一般入試,算数,問題・解答用紙,R6 一般入試 算数 問題・解答用紙,R6_一般入試_算数_問題・解答用紙.pdf,2024/一般入試/02_算数/R6_一般入試_算数_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2024/一般入試/02_算数/R6_一般入試_算数_問題・解答用紙.pdf,,233860,修道中学校
2024-general-04-99,広島県,中学入試,2024,R6,一般入試,理科,問題・解答用紙,R6 一般入試 理科 問題・解答用紙,R6_一般入試_理科_問題・解答用紙.pdf,2024/一般入試/04_理科/R6_一般入試_理科_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2024/一般入試/04_理科/R6_一般入試_理科_問題・解答用紙.pdf,,195261,修道中学校
2024-general-05-99,広島県,中学入試,2024,R6,一般入試,社会,問題・解答用紙,R6 一般入試 社会 問題・解答用紙,R6_一般入試_社会_問題・解答用紙.pdf,2024/一般入試/05_社会/R6_一般入試_社会_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2024/一般入試/05_社会/R6_一般入試_社会_問題・解答用紙.pdf,,411469,修道中学校
2024-general-99-99,広島県,中学入試,2024,R6,一般入試,その他,解答・解説,R6 一般入試 その他 解答・解説,R6_一般入試_全教科_解答・解説集.pdf,2024/一般入試/99_その他/R6_一般入試_全教科_解答・解説集.pdf,data/広島県_修道中学校_中学入試問題/2024/一般入試/99_その他/R6_一般入試_全教科_解答・解説集.pdf,,843467,修道中学校
2025-general-01-99,広島県,中学入試,2025,R7,一般入試,国語,問題・解答用紙,R7 一般入試 国語 問題・解答用紙,R7_一般入試_国語_問題・解答用紙.pdf,2025/一般入試/01_国語/R7_一般入試_国語_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2025/一般入試/01_国語/R7_一般入試_国語_問題・解答用紙.pdf,,497778,修道中学校
2025-general-02-99,広島県,中学入試,2025,R7,一般入試,算数,問題・解答用紙,R7 一般入試 算数 問題・解答用紙,R7_一般入試_算数_問題・解答用紙.pdf,2025/一般入試/02_算数/R7_一般入試_算数_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2025/一般入試/02_算数/R7_一般入試_算数_問題・解答用紙.pdf,,127626,修道中学校
2025-general-04-99,広島県,中学入試,2025,R7,一般入試,理科,問題・解答用紙,R7 一般入試 理科 問題・解答用紙,R7_一般入試_理科_問題・解答用紙.pdf,2025/一般入試/04_理科/R7_一般入試_理科_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2025/一般入試/04_理科/R7_一般入試_理科_問題・解答用紙.pdf,,411755,修道中学校
2025-general-05-99,広島県,中学入試,2025,R7,一般入試,社会,問題・解答用紙,R7 一般入試 社会 問題・解答用紙,R7_一般入試_社会_問題・解答用紙.pdf,2025/一般入試/05_社会/R7_一般入試_社会_問題・解答用紙.pdf,data/広島県_修道中学校_中学入試問題/2025/一般入試/05_社会/R7_一般入試_社会_問題・解答用紙.pdf,,606174,修道中学校
2025-general-99-99,広島県,中学入試,2025,R7,一般入試,その他,解答・解説,R7 一般入試 その他 解答・解説,R7_一般入試_全教科_解答・解説集.pdf,2025/一般入試/99_その他/R7_一般入試_全教科_解答・解説集.pdf,data/広島県_修道中学校_中学入試問題/2025/一般入試/99_その他/R7_一般入試_全教科_解答・解説集.pdf,,872098,修道中学校
2023-general-a-01-99,広島県,中学入試,2023,R5,A日程,国語,問題,R5 A日程 国語 問題,R5_A日程_国語_問題.pdf,2023/A日程/01_国語/R5_A日程_国語_問題.pdf,data/広島県_安田女子中学校_中学入試問題/2023/A日程/01_国語/R5_A日程_国語_問題.pdf,,523208,安田女子中学校
2023-general-a-01-99,広島県,中学入試,2023,R5,A日程,国語,解答,R5 A日程 国語 解答,R5_A日程_国語_解答.pdf,2023/A日程/01_国語/R5_A日程_国語_解答.pdf,data/広島県_安田女子中学校_中学入試問題/2023/A日程/01_国語/R5_A日程_国語_解答.pdf,,1186868,安田女子中学校
